Ticker,Date,Strategy,EntryPrice,MarketRegime,Ret5d,SpyRet5d,BeatSpy5d,Ret10d,SpyRet10d,BeatSpy10d,Ret20d,SpyRet20d,BeatSpy20d
ED,2026-04-23,box_bottom,110.25,bull,1.12,1.44,false,-3.50,3.26,false,-2.59,4.84,false
EG,2026-03-17,box_bottom,322.50,bear,0.39,-2.63,true,1.35,-3.05,true,7.17,4.35,true
EME,2026-06-02,box_bottom,827.28,bull,0.06,-2.96,true,0.91,-1.22,true,-2.77,-1.82,false
EMR,2025-11-19,box_bottom,128.17,bear,2.55,2.57,false,6.61,3.28,true,2.68,2.09,true
EMR,2026-01-05,squeeze_breakout,142.85,bull,1.76,1.08,true,1.66,-1.47,true,6.48,0.26,true
EMR,2026-02-04,squeeze_breakout,157.32,bull,-1.68,0.84,false,-3.83,-0.25,false,-9.60,-0.71,false
EMR,2026-07-09,box_bottom,137.80,bull,0.93,-0.13,true,0.00,0.00,false,0.00,0.00,false
EMR,2026-07-15,box_bottom,136.25,bull,0.00,0.00,false,0.00,0.00,false,0.00,0.00,false
EQIX,2025-11-21,box_bottom,754.68,bear,-2.84,3.22,false,-1.95,3.73,false,0.43,3.91,false
EQIX,2025-11-24,box_bottom,760.62,bear,-4.37,1.91,false,-2.62,2.14,false,-0.06,2.88,false
EQIX,2025-11-26,box_bottom,750.41,bull,-3.24,0.69,false,0.50,1.40,false,1.72,1.56,true
EQR,2025-10-14,box_bottom,62.30,bull,0.83,1.37,false,-1.35,3.75,false,-2.91,3.14,false
EQR,2026-03-23,box_bottom,58.41,bear,0.29,-3.57,true,3.08,0.59,true,5.89,7.43,false
EQR,2026-03-24,box_bottom,58.67,bear,0.82,-0.43,true,3.63,3.50,true,5.16,8.88,false
EQT,2025-12-19,box_bottom,53.87,bull,1.24,1.07,true,-0.85,1.65,false,1.78,0.71,true
ES,2026-03-23,box_bottom,67.65,bear,1.12,-3.57,true,2.72,0.59,true,-1.23,7.43,false
ES,2026-03-26,box_bottom,67.96,bear,2.22,1.66,true,2.96,5.33,false,1.00,10.67,false
ES,2026-03-27,box_bottom,67.59,bear,2.74,3.92,false,1.61,8.20,false,1.67,12.79,false
ESS,2026-03-23,box_bottom,242.58,bear,0.01,-3.57,true,2.36,0.59,true,4.36,7.43,false
ESS,2026-03-24,box_bottom,243.50,bear,-0.62,-0.43,false,3.45,3.50,false,3.57,8.88,false
ESS,2026-03-26,box_bottom,243.71,bear,1.49,1.66,false,2.61,5.33,false,4.78,10.67,false
ESS,2026-03-30,box_bottom,242.61,bear,2.35,4.31,false,3.63,9.89,false,10.42,12.61,false
ETR,2025-12-22,box_bottom,91.99,bull,1.50,0.32,true,-0.74,0.69,false,1.68,0.61,true
EVRG,2025-12-10,box_bottom,73.51,bull,0.11,-2.35,true,-0.68,0.41,false,-0.94,0.95,false
